gama_x,gama_y
46914.19764842931,19452.130517713726
46987.549139574985,20217.381170354784
47660.56028932484,19418.455904859118
47028.754543059156,19919.101672320627
46763.25438913703,19387.80659914296
47075.631506906124,20131.338670823723
46962.37590171059,19926.308829442598
44501.77689261548,23394.10886861477
46647.038864963804,20720.40718574077
46982.018198270816,19649.195774394087
47181.34514483879,19479.003526845947
46839.39943804918,20489.997085667215
46945.72457476542,20434.52065490652
47193.02649083524,20183.032153097913
47102.73831794504,19904.440944801085
46949.70336130308,20033.293989827856
47030.51137925254,20053.296637197025
47082.5793158852,19932.399763504975
47028.754543059156,19919.101672320627
47320.43136158399,19607.977525741793
47197.66693021532,19898.430484565906
46962.1522682542,19755.698686137795
48040.689732928295,18910.99545267597
47067.24075909122,19724.72511648573
47118.33190324856,19795.333102315664
46987.14476863644,20074.418218630366
46881.32429001096,19557.008080802858
46946.17230099416,19701.295165029354
47276.05625411542,19630.05698818341
44498.612484045094,23247.324979598634
46880.588275424205,19440.438852208667
46944.4369882904,19884.334590504877
47334.30223363137,19892.684262498282
46734.30766130611,20587.319172426127
47277.7286436531,19609.911665179767
46984.69208189461,19669.467887575738
47013.9526140634,19699.525191979483
46986.155154740205,19966.859695570543
46984.58454332175,20067.350861306302
47054.46799963736,20087.414320006967
47095.01350743754,19964.119823683985
47028.754543059156,19919.101672320627
46954.42994021578,20063.082917449996
47028.754543059156,19919.101672320627
46994.81914859603,20251.383154550567
46964.081080459524,20428.008532431908
47370.31152024504,19770.307544217445
47267.60678872478,19881.160812584683
47028.754543059156,19919.101672320627
46667.61162130453,19855.632041953504
47018.190747991204,19591.738836516626
47020.30749201053,19626.867362496443
47131.559967839275,19700.680753318593
47082.70028803148,20102.322504623793
46984.69208189461,19669.467887575738
44507.60543998133,23371.25193214137
46881.99390798714,19496.112340129912
47006.522171035875,20183.760934949853
46954.42994021578,20063.082917449996
46706.646933051874,19408.51445426233
45901.613546918146,21334.79791046027
47116.26684230298,20193.283544626087
46914.19764842931,19452.130517713726
46969.25040912314,19930.682322386652
47181.34514483879,19479.003526845947
47028.754543059156,19919.101672320627
47028.754543059156,19919.101672320627
44505.32728838711,23120.38804084249
46849.373840701184,19439.070675943978
47105.84593696217,19880.558074116707
46971.48825213045,19873.35577855073
47075.91677916248,19640.844310753047
47022.66444501595,19577.691820830107
47054.46799963736,20087.414320006967
46764.67191305384,19404.88355293777
46536.31523285003,19168.58971651271
47174.79379734304,20612.4822307555
46935.092072883854,19940.344707018696
47084.68645513733,20006.2247455623
47181.34514483879,19479.003526845947
47010.91386786674,19752.229575190693
47067.24075909122,19724.72511648573
47324.0383741908,19966.321314072236
46403.207207357045,20837.497168795206
47095.49345094641,19994.702554834075
47084.68645513733,20006.2247455623
47028.754543059156,19919.101672320627
46848.16327545862,19412.606004406698
47062.13059602096,20036.255215771496
46987.14476863644,20074.418218630366
46839.896593132056,19526.192611622624
47023.476516929455,19817.20225961972
46898.1189700627,19882.19900658354
47082.5793158852,19932.399763504975
47245.60140845156,20052.876029533334
46652.218967683846,18763.51675169263
47181.34514483879,19479.003526845947
47139.78813322738,19729.084625548683
46911.71897989453,19461.056092441082
47009.547167421784,19865.246967370622
47181.34514483879,19479.003526845947
46880.588275424205,19440.438852208667
44498.558321399614,23231.765079639852
46987.14476863644,20074.418218630366
46756.17432327999,19485.551937625743
46947.653829839895,19716.161067801528
47007.38914575672,20244.694209758192
47247.8895118637,19629.610040286556
47020.30749201053,19626.867362496443
47020.30749201053,19626.867362496443
46912.65969069791,19747.358268061653
46397.23111246887,20853.88245765213
47181.34514483879,19479.003526845947
46947.31045168138,20370.715382593684
46954.42994021578,20063.082917449996
